# Created by f3dm-l4s 0.1.0 using f3dmlib 1.8.24.3
# Force has been calculated on a mesh of 42184 nodes (28465 elements)
# using quadratic tetrahedral elements.
#
# Grid data:
# Center of the pox: 0.75 0.25 3 
# Box size: 1.500000 0.500000 2.000000 
# Number of points: 100 1 100 
#
# x  y  z  Fx  Fy  Fz
 0.000000000000000e+00      2.500000000000000e-01     2.000000000000000e+00     -3.379706306013412e-02     -2.146406019456437e-02     5.476925848097486e-01
 0.000000000000000e+00      2.500000000000000e-01     2.020202020202020e+00     -2.615095021367145e-02     -1.902435059519125e-02     5.423351733352004e-01
 0.000000000000000e+00      2.500000000000000e-01     2.040404040404041e+00     -1.850483736720878e-02     -1.658464099581802e-02     5.369777618606523e-01
 0.000000000000000e+00      2.500000000000000e-01     2.060606060606061e+00     -1.085872452074611e-02     -1.414493139644479e-02     5.316203503861041e-01
 0.000000000000000e+00      2.500000000000000e-01     2.080808080808081e+00     -2.247120391893093e-03     -1.065745697228779e-02     5.315191110250800e-01
 0.000000000000000e+00      2.500000000000000e-01     2.101010101010102e+00     -6.403027177322163e-04     -4.953637766299868e-03     5.294043271661109e-01
 0.000000000000000e+00      2.500000000000000e-01     2.121212121212122e+00     -1.782261583979372e-04     -3.662850006940943e-03     5.288849563515953e-01
 0.000000000000000e+00      2.500000000000000e-01     2.141414141414142e+00      2.838504009305964e-04     -2.372062247584378e-03     5.283655855370869e-01
 0.000000000000000e+00      2.500000000000000e-01     2.161616161616163e+00     -2.022640171180090e-04     -1.369183413314573e-03     5.268800048383707e-01
 0.000000000000000e+00      2.500000000000000e-01     2.181818181818183e+00     -1.139535087203436e-04     -9.286117305182806e-04     5.253529842928201e-01
 0.000000000000000e+00      2.500000000000000e-01     2.202020202020203e+00     -3.620458640596347e-05     -7.647450720928983e-04     5.235784264725478e-01
 0.000000000000000e+00      2.500000000000000e-01     2.222222222222224e+00      4.154433592207241e-05     -6.008784136517509e-04     5.218038686522752e-01
