# Ion number density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        total        A            Im1          Im2          Im3          C1           C2           P         
  0.277894283  0.052817432  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.052817432
  0.833682850  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.389471417  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.945259984  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  2.501048551  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.056837118  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.612625684  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  4.168414251  0.007130353  0.000000000  0.000000000  0.000000000  0.000000000  0.007130353  0.000000000  0.000000000
  4.724202818  0.008978963  0.000000000  0.000000000  0.000000000  0.000000000  0.008978963  0.000000000  0.000000000
  5.279991385  0.010035312  0.000000000  0.000000000  0.000000000  0.000000000  0.010035312  0.000000000  0.000000000
  5.835779952  0.008450789  0.000000000  0.000000000  0.000000000  0.000000000  0.008450789  0.000000000  0.000000000
  6.391568519  0.011281803  0.000000000  0.000000000  0.000190143  0.000000000  0.011091661  0.000000000  0.000000000
  6.947357086  0.012787100  0.000282573  0.000000000  0.000245601  0.000639091  0.011619835  0.000000000  0.000000000
  7.503145652  0.010262427  0.000509688  0.000000000  0.000092431  0.000417258  0.009243051  0.000000000  0.000000000
  8.058934219  0.008450789  0.000000000  0.000264087  0.000000000  0.000000000  0.008186702  0.000000000  0.000000000
  8.614722786  0.008429662  0.000361799  0.000000000  0.000000000  0.000145248  0.007922615  0.000000000  0.000000000
  9.170511353  0.012493963  0.000166375  0.000324827  0.000000000  0.000118839  0.011883922  0.000000000  0.000000000
  9.726299920  0.006763272  0.000000000  0.000161093  0.000000000  0.000000000  0.006602179  0.000000000  0.000000000
 10.282088487  0.008791462  0.000000000  0.000042254  0.000264087  0.000034331  0.008450789  0.000000000  0.000000000
 10.837877053  0.007909410  0.000095071  0.000000000  0.000000000  0.000419899  0.007394440  0.000000000  0.000000000
 11.393665620  0.008165575  0.000169016  0.000528174  0.000000000  0.000073944  0.007394440  0.000000000  0.000000000
 11.949454187  0.011429692  0.000264087  0.000338032  0.000000000  0.000000000  0.010827573  0.000000000  0.000000000
 12.505242754  0.010399752  0.000219192  0.000454230  0.000219192  0.000000000  0.009507138  0.000000000  0.000000000
 13.061031321  0.009430552  0.000044895  0.000000000  0.000406694  0.000264087  0.008714876  0.000000000  0.000000000
 13.616819888  0.011028280  0.000229756  0.000000000  0.000235038  0.000000000  0.010563486  0.000000000  0.000000000
 14.172608455  0.007309933  0.000248242  0.000000000  0.000195424  0.000000000  0.006866266  0.000000000  0.000000000
 14.728397021  0.005331920  0.000050177  0.000000000  0.000000000  0.000000000  0.005281743  0.000000000  0.000000000
 15.284185588  0.011091661  0.000264087  0.000000000  0.000000000  0.000000000  0.010827573  0.000000000  0.000000000
 15.839974155  0.008508888  0.000264087  0.000145248  0.000301059  0.000404053  0.007394440  0.000000000  0.000000000
 16.395762722  0.007956946  0.000000000  0.000237678  0.000686627  0.000430462  0.006602179  0.000000000  0.000000000
 16.951551289  0.009625977  0.000264087  0.000145248  0.000599478  0.000166375  0.008450789  0.000000000  0.000000000
 17.507339856  0.007209579  0.000155811  0.000264087  0.000132044  0.000055458  0.006602179  0.000000000  0.000000000
 18.063128422  0.009744816  0.000108276  0.000528174  0.000129403  0.000264087  0.008714876  0.000000000  0.000000000
 18.618916989  0.005809917  0.000000000  0.000000000  0.000000000  0.000000000  0.005809917  0.000000000  0.000000000
 19.174705556  0.008725440  0.000264087  0.000264087  0.000000000  0.000274651  0.007922615  0.000000000  0.000000000
 19.730494123  0.006430522  0.000066022  0.000264087  0.000036972  0.000253524  0.005809917  0.000000000  0.000000000
 20.286282690  0.009285304  0.000462153  0.000718317  0.000710394  0.000000000  0.007394440  0.000000000  0.000000000
 20.842071257  0.008865406  0.000264087  0.000338032  0.000253524  0.000879410  0.007130353  0.000000000  0.000000000
 21.397859824  0.005646183  0.000055458  0.000198065  0.000198065  0.000176938  0.005017656  0.000000000  0.000000000
 21.953648390  0.007526484  0.000472716  0.000066022  0.000121480  0.000264087  0.006602179  0.000000000  0.000000000
 22.509436957  0.004225395  0.000264087  0.000000000  0.000264087  0.000000000  0.003697220  0.000000000  0.000000000
 23.065225524  0.010286195  0.000264087  0.000147889  0.000000000  0.000102994  0.009771225  0.000000000  0.000000000
 23.621014091  0.005125932  0.000000000  0.000211270  0.000264087  0.000425180  0.004225395  0.000000000  0.000000000
 24.176802658  0.007912051  0.000264087  0.000660218  0.000000000  0.000121480  0.006866266  0.000000000  0.000000000
 24.732591225  0.009916473  0.000528174  0.000301059  0.000000000  0.000636450  0.008450789  0.000000000  0.000000000
