# z-component of the Electric Field profile
# Average over        100 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
    0.2778942834    0.0004070713    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0004070713
    0.8336828503    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.3894714171    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.9452599840    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    2.5010485508    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.0568371177    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.6126256845    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    4.1684142513   -0.0002653428    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0002653428    0.0000000000    0.0000000000
    4.7242028182    0.0001547085    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0001547085    0.0000000000    0.0000000000
    5.2799913850    0.0004320121    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0004320121    0.0000000000    0.0000000000
    5.8357799519    0.0000356140    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000356140    0.0000000000    0.0000000000
    6.3915685187    0.0001690875    0.0000000000    0.0000000000    0.0056498193    0.0000000000    0.0000747703    0.0000000000    0.0000000000
    6.9473570856    0.0007755983   -0.0013088849    0.0000000000    0.0063085260    0.0070849436    0.0003628055    0.0000000000    0.0000000000
    7.5031456524    0.0004995798   -0.0025140897    0.0000000000    0.0075837458    0.0061996493    0.0003376869    0.0000000000    0.0000000000
    8.0589342193   -0.0002277870    0.0000000000    0.0061410933    0.0000000000    0.0000000000   -0.0004332348    0.0000000000    0.0000000000
    8.6147227861   -0.0007082427   -0.0034710372    0.0000000000    0.0000000000    0.0029142806   -0.0006481678    0.0000000000    0.0000000000
    9.1705113530   -0.0001150531   -0.0028108482    0.0030793958    0.0000000000    0.0032805783   -0.0001986130    0.0000000000    0.0000000000
    9.7262999198   -0.0005698833    0.0000000000    0.0043606433    0.0000000000    0.0000000000   -0.0006889970    0.0000000000    0.0000000000
