# Madelung potential profile
# The last     3 ion types are fixed
# Average over        100 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
    0.2778942834    0.0312816487    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0312816487
    0.8336828503    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.3894714171    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.9452599840    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    2.5010485508    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.0568371177    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.6126256845    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    4.1684142513    0.0367499918    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0367499918    0.0000000000    0.0000000000
    4.7242028182    0.0367499719    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0367499719    0.0000000000    0.0000000000
    5.2799913850    0.0367499844    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0367499844    0.0000000000    0.0000000000
    5.8357799519    0.0367499812    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0367499812    0.0000000000    0.0000000000
    6.3915685187    0.0349110708    0.0000000000    0.0000000000   -0.0719471757    0.0000000000    0.0367499798    0.0000000000    0.0000000000
    6.9473570856    0.0321784514    0.1508562512    0.0000000000   -0.0599599043   -0.0681169948    0.0367499843    0.0000000000    0.0000000000
    7.5031456524    0.0373775808    0.1455441261    0.0000000000   -0.0637692706   -0.0584585239    0.0367499826    0.0000000000    0.0000000000
    8.0589342193    0.0328996045    0.0000000000   -0.0864617941    0.0000000000    0.0000000000    0.0367499722    0.0000000000    0.0000000000
    8.6147227861    0.0393201049    0.1354144366    0.0000000000    0.0000000000   -0.0601989576    0.0367499830    0.0000000000    0.0000000000
    9.1705113530    0.0340215366    0.1335724161   -0.0794079883    0.0000000000   -0.0683003885    0.0367499884    0.0000000000    0.0000000000
    9.7262999198    0.0340675532    0.0000000000   -0.0769675275    0.0000000000    0.0000000000    0.0367499849    0.0000000000    0.0000000000
   10.2820884866    0.0320363514    0.0000000000   -0.0819052114   -0.0864241678   -0.0631739769    0.0367499850    0.0000000000    0.0000000000
   10.8378770535    0.0332940637    0.1832594318    0.0000000000    0.0000000000   -0.0615318424    0.0367500014    0.0000000000    0.0000000000
   11.3936656203    0.0316602449    0.1789682456   -0.0734850957    0.0000000000   -0.0658204534    0.0367499897    0.0000000000    0.0000000000
   11.9494541872    0.0353216069    0.1211496192   -0.0777289933    0.0000000000    0.0000000000    0.0367499813    0.0000000000    0.0000000000
   12.5052427540    0.0314467330    0.1769017537   -0.0875155657   -0.0954104548    0.0000000000    0.0367499995    0.0000000000    0.0000000000
   13.0610313209    0.0297208672    0.1756445377    0.0000000000   -0.0901711442   -0.0442543333    0.0367500094    0.0000000000    0.0000000000
   13.6168198877    0.0371390781    0.1851569746    0.0000000000   -0.0917687716    0.0000000000    0.0367499973    0.0000000000    0.0000000000
   14.1726084546    0.0384359339    0.1814706212    0.0000000000   -0.0818041719    0.0000000000    0.0367500037    0.0000000000    0.0000000000
   14.7283970214    0.0381422104    0.1861559998    0.0000000000    0.0000000000    0.0000000000    0.0367500015    0.0000000000    0.0000000000
   15.2841855883    0.0395062866    0.1525139072    0.0000000000    0.0000000000    0.0000000000    0.0367500032    0.0000000000    0.0000000000
   15.8399741551    0.0298339997    0.1494096485   -0.0793455949   -0.0785078912   -0.0537393986    0.0367500014    0.0000000000    0.0000000000
   16.3957627219    0.0189821272    0.0000000000   -0.0797541394   -0.0622345920   -0.0711402087    0.0367500048    0.0000000000    0.0000000000
   16.9515512888    0.0309313024    0.1795328631   -0.0781502636   -0.0606187714   -0.0729706278    0.0367500062    0.0000000000    0.0000000000
   17.5073398556    0.0325947948    0.1679521570   -0.0885296133   -0.0505853207   -0.0731576624    0.0367500149    0.0000000000    0.0000000000
   18.0631284225    0.0291206364    0.1672155567   -0.0645907592   -0.0484691116   -0.0528732520    0.0367500035    0.0000000000    0.0000000000
   18.6189169893    0.0367499923    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0367499923    0.0000000000    0.0000000000
   19.1747055562    0.0341616535    0.1873890389   -0.0914394765    0.0000000000   -0.0671049230    0.0367500161    0.0000000000    0.0000000000
   19.7304941230    0.0294342393    0.1846800728   -0.0595001028   -0.0853405859   -0.0705946741    0.0367500039    0.0000000000    0.0000000000
   20.2862826899    0.0280536871    0.1843959502   -0.0618460860   -0.0729643008    0.0000000000    0.0367500068    0.0000000000    0.0000000000
   20.8420712567    0.0214435466    0.1176968376   -0.0726199795   -0.0692406022   -0.0694146715    0.0367500062    0.0000000000    0.0000000000
   21.3978598236    0.0279445408    0.1957549188   -0.0657254463   -0.0688258340   -0.0595295251    0.0367500051    0.0000000000    0.0000000000
   21.9536483904    0.0385593723    0.1638338504   -0.0635373067   -0.0740960149   -0.0630129995    0.0367500057    0.0000000000    0.0000000000
   22.5094369573    0.0375628135    0.1742684060    0.0000000000   -0.0877636105    0.0000000000    0.0367500157    0.0000000000    0.0000000000
   23.0652255241    0.0379076760    0.1891611796   -0.0846923538    0.0000000000   -0.0668306148    0.0367500070    0.0000000000    0.0000000000
   23.6210140909    0.0169338340    0.0000000000   -0.0789796277   -0.0789109557   -0.0712980084    0.0367500044    0.0000000000    0.0000000000
   24.1768026578    0.0305433526    0.1810909892   -0.0758015188    0.0000000000   -0.0654789441    0.0367500125    0.0000000000    0.0000000000
   24.7325912246    0.0345399564    0.1760922357   -0.0713912404   -0.0647093212   -0.0632234092    0.0367499863    0.0000000000    0.0000000000
   25.2883797915    0.0233864260    0.1697510137   -0.0855772949   -0.0656569323   -0.0664818993    0.0367500158    0.0000000000    0.0000000000
   25.8441683583    0.0313026160    0.1714089254    0.0000000000   -0.0795993180   -0.0654453717    0.0367499812    0.0000000000    0.0000000000
   26.3999569252    0.0348203881    0.1639359985    0.0000000000   -0.0832579229   -0.0578696214    0.0367500177    0.0000000000    0.0000000000
   26.9557454920    0.0292066223    0.1640547458   -0.0779540126    0.0000000000   -0.0683122721    0.0367500148    0.0000000000    0.0000000000
   27.5115340589    0.0343396176    0.1622759641   -0.0793400293    0.0000000000   -0.0607652367    0.0367499908    0.0000000000    0.0000000000
   28.0673226257    0.0305194424    0.1900917531   -0.0853957676   -0.0693023966   -0.0534040717    0.0367500106    0.0000000000    0.0000000000
   28.6231111926    0.0324480454    0.1947805412   -0.0865265923   -0.0860661085   -0.0570543270    0.0367499984    0.0000000000    0.0000000000
   29.1788997594    0.0383872699    0.1433940723    0.0000000000   -0.0788276273    0.0000000000    0.0367499986    0.0000000000    0.0000000000
   29.7346883262    0.0196268547    0.1418858389   -0.0807930653   -0.0743165950   -0.0633489514    0.0367500174    0.0000000000    0.0000000000
   30.2904768931    0.0255583777    0.1597766468   -0.0825951875   -0.0691541563   -0.0590082376    0.0367500032    0.0000000000    0.0000000000
   30.8462654599    0.0268501707    0.1651164546   -0.0845863232   -0.0905414747   -0.0873668869    0.0367500059    0.0000000000    0.0000000000
   31.4020540268    0.0152105247    0.0000000000   -0.0640924995   -0.0912792808   -0.0749689189    0.0367500336    0.0000000000    0.0000000000
   31.9578425936    0.0247423802    0.1748561316   -0.0884311541   -0.0784390965   -0.0774619051    0.0367499951    0.0000000000    0.0000000000
   32.5136311605    0.0372211951    0.1752894708   -0.0918221301   -0.0716208150   -0.0671508664    0.0367500116    0.0000000000    0.0000000000
   33.0694197273    0.0300259656    0.1747997767    0.0000000000   -0.0892226260   -0.0637887967    0.0367500177    0.0000000000    0.0000000000
   33.6252082942    0.0383845728    0.1750207081   -0.0751157584   -0.0713598820   -0.0680635504    0.0367500322    0.0000000000    0.0000000000
   34.1809968610    0.0334899017    0.1707415832    0.0000000000   -0.0781660443   -0.0559512438    0.0367500093    0.0000000000    0.0000000000
   34.7367854279    0.0234752501    0.0000000000   -0.0682115136   -0.0776475555   -0.0589778989    0.0367500076    0.0000000000    0.0000000000
   35.2925739947    0.0314471898    0.1734905695   -0.0792039077   -0.1095398474    0.0000000000    0.0367500120    0.0000000000    0.0000000000
   35.8483625615    0.0035815921    0.0000000000   -0.0827782699   -0.0811506215    0.0000000000    0.0367500139    0.0000000000    0.0000000000
   36.4041511284    0.0273295517    0.0000000000   -0.0868137395   -0.0813788112    0.0000000000    0.0367500217    0.0000000000    0.0000000000
   36.9599396952    0.0185347855    0.0000000000   -0.0829372146    0.0000000000   -0.0676866579    0.0367500127    0.0000000000    0.0000000000
   37.5157282621    0.0213818740    0.0000000000   -0.0767284988    0.0000000000   -0.0704846706    0.0367500125    0.0000000000    0.0000000000
   38.0715168289    0.0268900447    0.0000000000   -0.0752946847   -0.0997807291   -0.0527077822    0.0367500202    0.0000000000    0.0000000000
   38.6273053958    0.0360343837    0.1658760573   -0.0864608244    0.0000000000   -0.0531959819    0.0367500271    0.0000000000    0.0000000000
   39.1830939626    0.0264145351    0.1438361198    0.0000000000   -0.0876529811   -0.0662805053    0.0367500223    0.0000000000    0.0000000000
   39.7388825295    0.0284742863    0.1610461045    0.0000000000   -0.0725605140   -0.0675222220    0.0367500112    0.0000000000    0.0000000000
   40.2946710963    0.0417316476    0.1710163930    0.0000000000   -0.0754723996   -0.0677254374    0.0367500170    0.0000000000    0.0000000000
   40.8504596632    0.0281299936    0.1892433231    0.0000000000   -0.0733195574   -0.0746572573    0.0367500187    0.0000000000    0.0000000000
   41.4062482300    0.0273780233    0.1799331949   -0.0781951371    0.0000000000    0.0000000000    0.0367500040    0.0000000000    0.0000000000
   41.9620367969    0.0331915121    0.1728255318    0.0000000000   -0.0660027524   -0.0546270676    0.0367500302    0.0000000000    0.0000000000
   42.5178253637    0.0179768185    0.1724075004    0.0000000000   -0.0833916534   -0.0687862251    0.0367500293    0.0000000000    0.0000000000
   43.0736139305    0.0361858545    0.1678461169   -0.0796975708   -0.0818785438   -0.0650727558    0.0367500287    0.0000000000    0.0000000000
   43.6294024974    0.0308658066    0.1731988598   -0.0828586137   -0.0802094070    0.0000000000    0.0367500107    0.0000000000    0.0000000000
   44.1851910642    0.0367030021    0.1693012922   -0.0722317915   -0.0816722406    0.0000000000    0.0367500277    0.0000000000    0.0000000000
   44.7409796311    0.0312066455    0.1506607139   -0.0890909580   -0.0800067751    0.0000000000    0.0367500190    0.0000000000    0.0000000000
   45.2967681979    0.0366170690    0.1575804362   -0.0761906638   -0.0817348476    0.0000000000    0.0367500286    0.0000000000    0.0000000000
   45.8525567648    0.0337504348    0.1642992781   -0.0815703767   -0.0862895803    0.0000000000    0.0367500310    0.0000000000    0.0000000000
   46.4083453316    0.0217136584    0.1539026605   -0.0891754317   -0.0679873829    0.0000000000    0.0367500198    0.0000000000    0.0000000000
   46.9641338985    0.0375858906    0.1575873106    0.0000000000   -0.0749653844   -0.0668423634    0.0367500409    0.0000000000    0.0000000000
   47.5199224653    0.0342446988    0.1727336314   -0.0757376118    0.0000000000   -0.0610478942    0.0367500352    0.0000000000    0.0000000000
   48.0757110322    0.0233608203    0.0000000000   -0.0851320259   -0.0839312958   -0.0533518889    0.0367500140    0.0000000000    0.0000000000
   48.6314995990    0.0273373671    0.0000000000    0.0000000000   -0.0800595456   -0.0812931288    0.0367500136    0.0000000000    0.0000000000
   49.1872881658    0.0189834688    0.0000000000    0.0000000000   -0.0710868120   -0.0684935763    0.0367500101    0.0000000000    0.0000000000
   49.7430767327    0.0289571675    0.0000000000    0.0000000000   -0.0673893318   -0.0875090589    0.0367500230    0.0000000000    0.0000000000
   50.2988652995    0.0372337948    0.1775547179    0.0000000000   -0.0823055440   -0.0731443141    0.0367500202    0.0000000000    0.0000000000
   50.8546538664    0.0325105505    0.1610685782   -0.0791433064   -0.0869670711   -0.0777000100    0.0367500128    0.0000000000    0.0000000000
   51.4104424332    0.0226226292    0.1565305207   -0.0772076598   -0.0859140948   -0.0620145515    0.0367500174    0.0000000000    0.0000000000
   51.9662310001    0.0235948756    0.0000000000   -0.0888633358   -0.0828643443   -0.0718518363    0.0367500211    0.0000000000    0.0000000000
   52.5220195669    0.0236260770    0.0000000000   -0.0951245498    0.0000000000   -0.0749511991    0.0367500070    0.0000000000    0.0000000000
   53.0778081338    0.0319216954    0.1764450079   -0.0945096640   -0.0943601084   -0.0766021581    0.0367500058    0.0000000000    0.0000000000
   53.6335967006    0.0393334538    0.1786029454   -0.0948125718    0.0000000000   -0.0740280277    0.0367500008    0.0000000000    0.0000000000
   54.1893852675    0.0332934708    0.0000000000   -0.0857216526    0.0000000000    0.0000000000    0.0367500156    0.0000000000    0.0000000000
