# Ion number density
# The last    3 ion types are fixed
# Average over     744960 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
  0.444203471  0.033042656  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.033042656
  1.332610412  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  2.221017354  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.109424296  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.997831237  0.003803871  0.000000000  0.000000000  0.000000000  0.000000000  0.000003966  0.000000000  0.000000000  0.003799905  0.000000000  0.000000000
  4.886238179  0.009374973  0.000000000  0.000000000  0.000035410  0.000000000  0.000192076  0.000060557  0.000000199  0.009086730  0.000000000  0.000000000
  5.774645120  0.010464741  0.000165243  0.000095519  0.000201382  0.000014526  0.000302046  0.000255806  0.000178276  0.009251944  0.000000000  0.000000000
  6.663052062  0.011977724  0.000089892  0.000092671  0.000125423  0.000269207  0.000187780  0.000137209  0.000336679  0.010738863  0.000000000  0.000000000
  7.551459004  0.010745840  0.000346870  0.000086150  0.000025834  0.000229402  0.000123870  0.000271800  0.000244758  0.009417157  0.000000000  0.000000000
  8.439865945  0.009156265  0.000096232  0.000104718  0.000014268  0.000060278  0.000131239  0.000271630  0.000217236  0.008260664  0.000000000  0.000000000
  9.328272887  0.011153121  0.000025129  0.000116135  0.000033153  0.000016315  0.000145336  0.000204650  0.000203968  0.010408437  0.000000000  0.000000000
 10.216679828  0.008095090  0.000015106  0.000083661  0.000088070  0.000013953  0.000161584  0.000155459  0.000307872  0.007269384  0.000000000  0.000000000
 11.105086770  0.008275619  0.000030331  0.000057183  0.000083820  0.000013321  0.000198174  0.000164100  0.000294092  0.007434598  0.000000000  0.000000000
 11.993493711  0.010300994  0.000087725  0.000038076  0.000058941  0.000025340  0.000256619  0.000272306  0.000144830  0.009417157  0.000000000  0.000000000
