# Ion number density
# The last    3 ion types are fixed
# Average over     378000 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
  0.444203471  0.033042656  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.033042656
  1.332610412  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  2.221017354  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.109424296  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.997831237  0.003801092  0.000000000  0.000000000  0.000000000  0.000000000  0.000001187  0.000000000  0.000000000  0.003799905  0.000000000  0.000000000
  4.886238179  0.009334627  0.000000000  0.000000000  0.000013268  0.000000000  0.000182149  0.000052370  0.000000109  0.009086730  0.000000000  0.000000000
  5.774645120  0.010438550  0.000165224  0.000095745  0.000156978  0.000012959  0.000328113  0.000268868  0.000158718  0.009251944  0.000000000  0.000000000
  6.663052062  0.011992717  0.000072395  0.000073407  0.000143656  0.000272131  0.000240255  0.000151145  0.000300866  0.010738863  0.000000000  0.000000000
  7.551459004  0.010688410  0.000334006  0.000040373  0.000019822  0.000259247  0.000142229  0.000254269  0.000221308  0.009417157  0.000000000  0.000000000
  8.439865945  0.009205917  0.000083216  0.000096325  0.000005780  0.000089323  0.000142883  0.000303544  0.000224180  0.008260664  0.000000000  0.000000000
  9.328272887  0.011134138  0.000011485  0.000142090  0.000017313  0.000018863  0.000148628  0.000190980  0.000196342  0.010408437  0.000000000  0.000000000
 10.216679828  0.008049803  0.000003344  0.000073170  0.000077408  0.000012430  0.000161557  0.000156109  0.000296401  0.007269384  0.000000000  0.000000000
 11.105086770  0.008339830  0.000014097  0.000081307  0.000107776  0.000009529  0.000210222  0.000193678  0.000288624  0.007434598  0.000000000  0.000000000
 11.993493711  0.010306020  0.000057957  0.000067950  0.000080364  0.000009863  0.000274208  0.000248038  0.000150484  0.009417157  0.000000000  0.000000000
