# Ion number density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        total        A            Im1          Im2          Im3          C1           C2           P         
  0.281515320  0.052138059  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.052138059
  0.844545959  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.407576598  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.970607238  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  2.533637877  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.096668517  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.659699156  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  4.222729795  0.007038638  0.000000000  0.000000000  0.000000000  0.000000000  0.007038638  0.000000000  0.000000000
  4.785760435  0.008863470  0.000000000  0.000000000  0.000000000  0.000000000  0.008863470  0.000000000  0.000000000
  5.348791074  0.009953155  0.000000000  0.000000000  0.000046924  0.000000000  0.009906231  0.000000000  0.000000000
  5.911821713  0.008553249  0.000000000  0.000109490  0.000101669  0.000000000  0.008342089  0.000000000  0.000000000
  6.474852353  0.011175793  0.000000000  0.000117311  0.000109490  0.000000000  0.010948992  0.000000000  0.000000000
  7.037882992  0.011793629  0.000000000  0.000093849  0.000093849  0.000135559  0.011470373  0.000000000  0.000000000
  7.600913631  0.009377030  0.000000000  0.000086028  0.000086028  0.000080814  0.009124160  0.000000000  0.000000000
  8.163944271  0.008237813  0.000000000  0.000080814  0.000031283  0.000044317  0.008081399  0.000000000  0.000000000
  8.726974910  0.008125716  0.000000000  0.000033890  0.000028676  0.000242442  0.007820709  0.000000000  0.000000000
  9.290005550  0.011772774  0.000000000  0.000000000  0.000023462  0.000018248  0.011731063  0.000000000  0.000000000
  9.853036189  0.006517257  0.000000000  0.000000000  0.000000000  0.000000000  0.006517257  0.000000000  0.000000000
