# z-component of the Electric Field profile
# Average over        100 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
    0.2815153197   -0.0005482034    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0005482034
    0.8445459590    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.4075765984    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.9706072378    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    2.5336378771    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.0966685165    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.6596991559    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    4.2227297952    0.0005047418    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0005047418    0.0000000000    0.0000000000
    4.7857604346    0.0005522116    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0005522116    0.0000000000    0.0000000000
    5.3487910740    0.0004980256    0.0000000000    0.0000000000    0.0008925374    0.0000000000    0.0004960725    0.0000000000    0.0000000000
    5.9118217133    0.0003273520    0.0000000000    0.0007052617    0.0012454352    0.0000000000    0.0003108448    0.0000000000    0.0000000000
    6.4748523527    0.0003407580    0.0000000000    0.0007415569    0.0011944282    0.0000000000    0.0003280541    0.0000000000    0.0000000000
    7.0378829921    0.0001242708    0.0000000000    0.0006503395    0.0011382919    0.0004223686    0.0001082397    0.0000000000    0.0000000000
    7.6009136314    0.0001726845    0.0000000000    0.0006128113    0.0011220492    0.0004395404    0.0001573731    0.0000000000    0.0000000000
    8.1639442708    0.0001773055    0.0000000000    0.0005974436    0.0006083551    0.0004701130    0.0001699038    0.0000000000    0.0000000000
    8.7269749101    0.0001992091    0.0000000000    0.0008550252    0.0005509801    0.0009014859    0.0001733315    0.0000000000    0.0000000000
    9.2900055495    0.0001210135    0.0000000000    0.0000000000    0.0004896168    0.0010321997    0.0001188802    0.0000000000    0.0000000000
    9.8530361889    0.0000508020    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000508020    0.0000000000    0.0000000000
   10.4160668282    0.0001994556    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0001994556    0.0000000000    0.0000000000
   10.9790974676    0.0000339286    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000339286    0.0000000000    0.0000000000
   11.5421281070    0.0000737086    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000737086    0.0000000000    0.0000000000
   12.1051587463   -0.0000019988    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000019988    0.0000000000    0.0000000000
   12.6681893857   -0.0002544417    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0002544417    0.0000000000    0.0000000000
   13.2312200251   -0.0001471719    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0001471719    0.0000000000    0.0000000000
   13.7942506644   -0.0001164854    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0001164854    0.0000000000    0.0000000000
   14.3572813038    0.0000902787    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000902787    0.0000000000    0.0000000000
   14.9203119431    0.0000796972    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000796972    0.0000000000    0.0000000000
   15.4833425825   -0.0001775018    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0001775018    0.0000000000    0.0000000000
   16.0463732219   -0.0001000329    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0001000329    0.0000000000    0.0000000000
   16.6094038612    0.0000863158    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000863158    0.0000000000    0.0000000000
   17.1724345006   -0.0001360724    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0001360724    0.0000000000    0.0000000000
   17.7354651400    0.0000686186    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000686186    0.0000000000    0.0000000000
   18.2984957793   -0.0001427534    0.0000000000    0.0000000000   -0.0006765980    0.0000000000   -0.0001393899    0.0000000000    0.0000000000
   18.8615264187   -0.0003115096    0.0000000000    0.0000000000    0.0005427683    0.0000000000   -0.0003341930    0.0000000000    0.0000000000
   19.4245570581   -0.0001279143    0.0000000000    0.0000000000    0.0008816748    0.0000000000   -0.0001349115    0.0000000000    0.0000000000
   19.9875876974   -0.0002274725    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0002274725    0.0000000000    0.0000000000
   20.5506183368   -0.0001144548    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0001144548    0.0000000000    0.0000000000
   21.1136489762   -0.0000465777    0.0000000000   -0.0027015598    0.0000000000    0.0000000000   -0.0000232116    0.0000000000    0.0000000000
   21.6766796155   -0.0002186605    0.0000000000   -0.0023020931    0.0000000000    0.0000000000   -0.0001936898    0.0000000000    0.0000000000
   22.2397102549    0.0000638757    0.0000000000   -0.0021100969    0.0000000000    0.0000000000    0.0000828173    0.0000000000    0.0000000000
   22.8027408942   -0.0002321431    0.0000000000   -0.0022259676    0.0000000000    0.0000000000   -0.0001898413    0.0000000000    0.0000000000
   23.3657715336    0.0001119272    0.0000000000   -0.0023268388    0.0000000000    0.0000000000    0.0001132324    0.0000000000    0.0000000000
   23.9288021730   -0.0001472700    0.0000000000    0.0000000000    0.0000000000   -0.0026062808    0.0000064182    0.0000000000    0.0000000000
   24.4918328123   -0.0000010668    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000010668    0.0000000000    0.0000000000
   25.0548634517    0.0000768297    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000768297    0.0000000000    0.0000000000
   25.6178940911   -0.0000004261    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000004261    0.0000000000    0.0000000000
   26.1809247304    0.0000581603    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000581603    0.0000000000    0.0000000000
   26.7439553698   -0.0000035720    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000035720    0.0000000000    0.0000000000
   27.3069860092    0.0000593481    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000593481    0.0000000000    0.0000000000
   27.8700166485   -0.0000484677    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000484677    0.0000000000    0.0000000000
