# Madelung potential profile
# The last     3 ion types are fixed
# Average over        100 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
    0.2815153197    0.0143478627    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0143478627
    0.8445459590    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.4075765984    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.9706072378    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    2.5336378771    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.0966685165    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.6596991559    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    4.2227297952   -0.0000000081    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000081    0.0000000000    0.0000000000
    4.7857604346   -0.0000000001    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000001    0.0000000000    0.0000000000
    5.3487910740   -0.0002822725    0.0000000000    0.0000000000   -0.0573013483    0.0000000000    0.0000000002    0.0000000000    0.0000000000
    5.9118217133   -0.0012698439    0.0000000000   -0.0482763308   -0.0521663187    0.0000000000    0.0000000028    0.0000000000    0.0000000000
    6.4748523527   -0.0009837585    0.0000000000   -0.0452361548   -0.0529300104    0.0000000000   -0.0000000007    0.0000000000    0.0000000000
    7.0378829921   -0.0014326531    0.0000000000   -0.0474704477   -0.0549201668   -0.0539573277    0.0000000019    0.0000000000    0.0000000000
    7.6009136314   -0.0014273522    0.0000000000   -0.0483053971   -0.0570151561   -0.0551155307    0.0000000046    0.0000000000    0.0000000000
    8.1639442708   -0.0009998650    0.0000000000   -0.0488945753   -0.0603156616   -0.0559434525   -0.0000000035    0.0000000000    0.0000000000
    8.7269749101   -0.0013765876    0.0000000000   -0.0426698013   -0.0611398303   -0.0330451236   -0.0000000035    0.0000000000    0.0000000000
    9.2900055495   -0.0001768370    0.0000000000    0.0000000000   -0.0618450486   -0.0357064904   -0.0000000006    0.0000000000    0.0000000000
    9.8530361889    0.0000000061    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000061    0.0000000000    0.0000000000
   10.4160668282    0.0000000008    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000008    0.0000000000    0.0000000000
   10.9790974676    0.0000000065    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000065    0.0000000000    0.0000000000
   11.5421281070   -0.0000000008    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000008    0.0000000000    0.0000000000
   12.1051587463   -0.0000000055    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000055    0.0000000000    0.0000000000
   12.6681893857   -0.0000000095    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000095    0.0000000000    0.0000000000
   13.2312200251   -0.0000000041    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000041    0.0000000000    0.0000000000
   13.7942506644   -0.0000000079    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000079    0.0000000000    0.0000000000
   14.3572813038   -0.0000000052    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000052    0.0000000000    0.0000000000
   14.9203119431    0.0000000030    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000030    0.0000000000    0.0000000000
   15.4833425825   -0.0000000075    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000075    0.0000000000    0.0000000000
   16.0463732219    0.0000000088    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000088    0.0000000000    0.0000000000
   16.6094038612    0.0000000137    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000137    0.0000000000    0.0000000000
   17.1724345006   -0.0000000015    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000015    0.0000000000    0.0000000000
   17.7354651400   -0.0000000017    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000017    0.0000000000    0.0000000000
   18.2984957793   -0.0005073799    0.0000000000    0.0000000000   -0.0810356776    0.0000000000   -0.0000000009    0.0000000000    0.0000000000
   18.8615264187   -0.0020774573    0.0000000000    0.0000000000   -0.0803167916    0.0000000000    0.0000000048    0.0000000000    0.0000000000
   19.4245570581   -0.0005547110    0.0000000000    0.0000000000   -0.0805898275    0.0000000000   -0.0000000122    0.0000000000    0.0000000000
   19.9875876974   -0.0000000040    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000040    0.0000000000    0.0000000000
   20.5506183368   -0.0000000038    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000038    0.0000000000    0.0000000000
   21.1136489762   -0.0007049616    0.0000000000   -0.0808051329    0.0000000000    0.0000000000   -0.0000000096    0.0000000000    0.0000000000
