# Ion number density
# The last    3 ion types are fixed
# Average over         10 steps
# z (au)        total        A            Im1          Im2          Im3          C1           C2           P         
  0.352170940  0.041678104  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.041678104
  1.056512821  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.760854702  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  2.465196583  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.169538464  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.873880345  0.001875515  0.000000000  0.000000000  0.000000000  0.000000000  0.001875515  0.000000000  0.000000000
  4.578222226  0.004376201  0.000000000  0.000000000  0.000000000  0.000000000  0.004376201  0.000000000  0.000000000
  5.282564107  0.006043325  0.000000000  0.000000000  0.000000000  0.000000000  0.006043325  0.000000000  0.000000000
  5.986905988  0.005209763  0.000000000  0.000000000  0.000208391  0.000000000  0.005001373  0.000000000  0.000000000
  6.691247869  0.005355636  0.000145873  0.000000000  0.000000000  0.000000000  0.005209763  0.000000000  0.000000000
  7.395589750  0.007564576  0.000062517  0.000208391  0.000208391  0.000625172  0.006460106  0.000000000  0.000000000
  8.099931631  0.005001373  0.000208391  0.000208391  0.000000000  0.000208391  0.004376201  0.000000000  0.000000000
  8.804273511  0.007710449  0.000000000  0.000000000  0.000208391  0.000625172  0.006876887  0.000000000  0.000000000
  9.508615392  0.007502059  0.000625172  0.000416781  0.000208391  0.000208391  0.006043325  0.000000000  0.000000000
 10.212957273  0.007710449  0.000208391  0.000208391  0.000208391  0.000000000  0.007085278  0.000000000  0.000000000
 10.917299154  0.005751578  0.000000000  0.000125034  0.000000000  0.000000000  0.005626544  0.000000000  0.000000000
 11.621641035  0.006126681  0.000000000  0.000083356  0.000000000  0.000416781  0.005626544  0.000000000  0.000000000
 12.325982916  0.011044698  0.000416781  0.000208391  0.000208391  0.000000000  0.010211136  0.000000000  0.000000000
 13.030324797  0.005772417  0.000208391  0.000000000  0.000145873  0.000000000  0.005418154  0.000000000  0.000000000
 13.734666678  0.008189747  0.000000000  0.000416781  0.000062517  0.000000000  0.007710449  0.000000000  0.000000000
 14.439008559  0.008481494  0.000208391  0.000416781  0.000333425  0.000020839  0.007502059  0.000000000  0.000000000
 15.143350440  0.008814919  0.000625172  0.000000000  0.000083356  0.000395942  0.007710449  0.000000000  0.000000000
 15.847692321  0.007502059  0.000000000  0.000416781  0.000208391  0.000000000  0.006876887  0.000000000  0.000000000
 16.552034201  0.009127505  0.000375103  0.000208391  0.000208391  0.000000000  0.008335621  0.000000000  0.000000000
 17.256376082  0.007543737  0.000041678  0.000000000  0.000208391  0.000000000  0.007293668  0.000000000  0.000000000
 17.960717963  0.008960792  0.000000000  0.000000000  0.000416781  0.000416781  0.008127230  0.000000000  0.000000000
 18.665059844  0.007918840  0.000000000  0.000208391  0.000208391  0.000208391  0.007293668  0.000000000  0.000000000
 19.369401725  0.007960518  0.000208391  0.000000000  0.000250069  0.000416781  0.007085278  0.000000000  0.000000000
 20.073743606  0.006418428  0.000416781  0.000208391  0.000166712  0.000208391  0.005418154  0.000000000  0.000000000
 20.778085487  0.008335621  0.000000000  0.000000000  0.000000000  0.000416781  0.007918840  0.000000000  0.000000000
 21.482427368  0.006251716  0.000000000  0.000000000  0.000208391  0.000000000  0.006043325  0.000000000  0.000000000
 22.186769249  0.007772966  0.000000000  0.000687689  0.000000000  0.000000000  0.007085278  0.000000000  0.000000000
 22.891111130  0.005564027  0.000416781  0.000354264  0.000208391  0.000000000  0.004584591  0.000000000  0.000000000
 23.595453011  0.006043325  0.000208391  0.000000000  0.000208391  0.000000000  0.005626544  0.000000000  0.000000000
 24.299794892  0.008335621  0.000208391  0.000208391  0.000000000  0.000000000  0.007918840  0.000000000  0.000000000
 25.004136772  0.006543462  0.000208391  0.000000000  0.000208391  0.000291747  0.005834935  0.000000000  0.000000000
 25.708478653  0.007210312  0.000208391  0.000000000  0.000208391  0.000333425  0.006460106  0.000000000  0.000000000
 26.412820534  0.008127230  0.000208391  0.000416781  0.000000000  0.000625172  0.006876887  0.000000000  0.000000000
 27.117162415  0.007293668  0.000000000  0.000000000  0.000000000  0.000000000  0.007293668  0.000000000  0.000000000
 27.821504296  0.006251716  0.000000000  0.000208391  0.000208391  0.000208391  0.005626544  0.000000000  0.000000000
 28.525846177  0.006460106  0.000208391  0.000000000  0.000208391  0.000000000  0.006043325  0.000000000  0.000000000
 29.230188058  0.008752402  0.000208391  0.000208391  0.000416781  0.000208391  0.007710449  0.000000000  0.000000000
 29.934529939  0.005209763  0.000000000  0.000000000  0.000416781  0.000000000  0.004792982  0.000000000  0.000000000
 30.638871820  0.008127230  0.000416781  0.000208391  0.000000000  0.000000000  0.007502059  0.000000000  0.000000000
 31.343213701  0.006251716  0.000208391  0.000208391  0.000000000  0.000208391  0.005626544  0.000000000  0.000000000
 32.047555582  0.005626544  0.000000000  0.000208391  0.000000000  0.000000000  0.005418154  0.000000000  0.000000000
 32.751897462  0.006668497  0.000104195  0.000000000  0.000000000  0.000520976  0.006043325  0.000000000  0.000000000
 33.456239343  0.008752402  0.000104195  0.000000000  0.000208391  0.000312586  0.008127230  0.000000000  0.000000000
 34.160581224  0.006460106  0.000000000  0.000416781  0.000000000  0.000000000  0.006043325  0.000000000  0.000000000
 34.864923105  0.005022212  0.000229230  0.000000000  0.000208391  0.000000000  0.004584591  0.000000000  0.000000000
 35.569264986  0.008960792  0.000416781  0.000208391  0.000208391  0.000208391  0.007918840  0.000000000  0.000000000
 36.273606867  0.006439267  0.000187551  0.000208391  0.000000000  0.000000000  0.006043325  0.000000000  0.000000000
 36.977948748  0.008544011  0.000208391  0.000208391  0.000625172  0.000000000  0.007502059  0.000000000  0.000000000
 37.682290629  0.008335621  0.000000000  0.000208391  0.000000000  0.000000000  0.008127230  0.000000000  0.000000000
 38.386632510  0.007502059  0.000208391  0.000208391  0.000208391  0.000416781  0.006460106  0.000000000  0.000000000
 39.090974391  0.007918840  0.000000000  0.000000000  0.000000000  0.000000000  0.007918840  0.000000000  0.000000000
 39.795316272  0.009377573  0.000000000  0.000000000  0.000208391  0.000000000  0.009169183  0.000000000  0.000000000
 40.499658153  0.006418428  0.000208391  0.000208391  0.000166712  0.000000000  0.005834935  0.000000000  0.000000000
 41.204000033  0.011294766  0.000208391  0.000208391  0.000250069  0.000000000  0.010627917  0.000000000  0.000000000
 41.908341914  0.007085278  0.000208391  0.000000000  0.000000000  0.000208391  0.006668497  0.000000000  0.000000000
 42.612683795  0.007502059  0.000208391  0.000000000  0.000416781  0.000000000  0.006876887  0.000000000  0.000000000
 43.317025676  0.009940228  0.000145873  0.000416781  0.000000000  0.000208391  0.009169183  0.000000000  0.000000000
 44.021367557  0.011273927  0.000270908  0.000000000  0.000166712  0.000000000  0.010836307  0.000000000  0.000000000
