# z-component of the Electric Field profile
# Average over         10 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
    0.3521709405    0.0001244963    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0001244963
    1.0565128214    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.7608547023    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    2.4651965832    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.1695384641    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.8738803450   -0.0002251170    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0002251170    0.0000000000    0.0000000000
    4.5782222259   -0.0000680029    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000680029    0.0000000000    0.0000000000
    5.2825641069   -0.0002960884    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0002960884    0.0000000000    0.0000000000
    5.9869059878    0.0000808015    0.0000000000    0.0000000000    0.0100294331    0.0000000000   -0.0003337248    0.0000000000    0.0000000000
    6.6912478687   -0.0000941000   -0.0017374818    0.0000000000    0.0000000000    0.0000000000   -0.0000522684    0.0000000000    0.0000000000
    7.3955897496    0.0000394079   -0.0017635810    0.0018552002    0.0022041676    0.0054605108   -0.0005924705    0.0000000000    0.0000000000
    8.0999316305   -0.0001944224   -0.0046556710    0.0072483868    0.0000000000    0.0052156423   -0.0005940236    0.0000000000    0.0000000000
    8.8042735114   -0.0003149313    0.0000000000    0.0000000000    0.0019263134    0.0033989848   -0.0007204765    0.0000000000    0.0000000000
    9.5086153923   -0.0002469034   -0.0017990429    0.0035113920   -0.0020420039    0.0089702013   -0.0006014612    0.0000000000    0.0000000000
   10.2129572732    0.0002981216   -0.0030698559    0.0057030101    0.0093151012    0.0000000000   -0.0000269929    0.0000000000    0.0000000000
   10.9172991542   -0.0009531139    0.0000000000    0.0005272373    0.0000000000    0.0000000000   -0.0009880043    0.0000000000    0.0000000000
   11.6216410351   -0.0000279991    0.0000000000    0.0004718710    0.0000000000    0.0041816506   -0.0003465572    0.0000000000    0.0000000000
   12.3259829160   -0.0005366284   -0.0007746403   -0.0031583257   -0.0085141024    0.0000000000   -0.0003106040    0.0000000000    0.0000000000
   13.0303247969   -0.0000606552   -0.0022057032    0.0000000000   -0.0011402201    0.0000000000    0.0000520442    0.0000000000    0.0000000000
   13.7346666778   -0.0006117805    0.0000000000   -0.0001226642   -0.0015615102    0.0000000000   -0.0006312188    0.0000000000    0.0000000000
   14.4390085587    0.0000353747   -0.0009190798    0.0038534613   -0.0005534920   -0.0058648752   -0.0001100493    0.0000000000    0.0000000000
