# Madelung potential profile
# The last     3 ion types are fixed
# Average over         10 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
    0.3521709405   -0.0017857835    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0017857835
    1.0565128214    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    1.7608547023    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    2.4651965832    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.1695384641    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
    3.8738803450   -0.0000000132    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000132    0.0000000000    0.0000000000
    4.5782222259    0.0000000001    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000001    0.0000000000    0.0000000000
    5.2825641069   -0.0000000020    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000000020    0.0000000000    0.0000000000
    5.9869059878   -0.0045463840    0.0000000000    0.0000000000   -0.1136597605    0.0000000000    0.0000000067    0.0000000000    0.0000000000
    6.6912478687    0.0025316350    0.1019878586    0.0000000000    0.0000000000    0.0000000000    0.0000000220    0.0000000000    0.0000000000
    7.3955897496   -0.0134588087    0.1021344469   -0.1059046234   -0.1391533034   -0.0938310324   -0.0000000001    0.0000000000    0.0000000000
    8.0999316305   -0.0052635801    0.0946298777   -0.1275948112    0.0000000000   -0.0933612639    0.0000000131    0.0000000000    0.0000000000
    8.8042735114   -0.0109843494    0.0000000000    0.0000000000   -0.1262655248   -0.0933852549    0.0000000109    0.0000000000    0.0000000000
    9.5086153923   -0.0026052524    0.1133775050   -0.1078687607   -0.1254166496   -0.0927681567    0.0000000250    0.0000000000    0.0000000000
   10.2129572732   -0.0033381344    0.1184970165   -0.1213585267   -0.1206499850    0.0000000000    0.0000000154    0.0000000000    0.0000000000
   10.9172991542   -0.0030648979    0.0000000000   -0.1331035038    0.0000000000    0.0000000000   -0.0000000150    0.0000000000    0.0000000000
   11.6216410351   -0.0086249537    0.0000000000   -0.1326403590    0.0000000000   -0.1025133796   -0.0000000143    0.0000000000    0.0000000000
   12.3259829160    0.0003421376    0.1187268696   -0.1139123587   -0.1054077820    0.0000000000   -0.0000000062    0.0000000000    0.0000000000
   13.0303247969    0.0007122027    0.1130187630    0.0000000000   -0.1282480166    0.0000000000   -0.0000000015    0.0000000000    0.0000000000
   13.7346666778   -0.0070948554    0.0000000000   -0.1220880029   -0.1263482461    0.0000000000    0.0000000080    0.0000000000    0.0000000000
   14.4390085587   -0.0077012792    0.1228375693   -0.1159123328   -0.1272164700   -0.0809261527   -0.0000000193    0.0000000000    0.0000000000
   15.1433504396    0.0037639554    0.1253921849    0.0000000000   -0.1286923945   -0.0828792960   -0.0000000288    0.0000000000    0.0000000000
   15.8476923206   -0.0098350319    0.0000000000   -0.1196750522   -0.1147111342    0.0000000000    0.0000000028    0.0000000000    0.0000000000
   16.5520342015   -0.0008193407    0.1162499548   -0.1346976185   -0.1125676620    0.0000000000   -0.0000000074    0.0000000000    0.0000000000
   17.2563760824   -0.0027966543    0.1215928474    0.0000000000   -0.1232954505    0.0000000000   -0.0000000108    0.0000000000    0.0000000000
   17.9607179633   -0.0091596642    0.0000000000    0.0000000000   -0.1150443838   -0.0818879102   -0.0000000250    0.0000000000    0.0000000000
   18.6650598442   -0.0091582342    0.0000000000   -0.1250218963   -0.1215262876   -0.1014635501   -0.0000000333    0.0000000000    0.0000000000
   19.3694017251   -0.0049671715    0.1205774513    0.0000000000   -0.1069719162   -0.0919050513   -0.0000000480    0.0000000000    0.0000000000
   20.0737436060   -0.0029471116    0.1096408450   -0.1269858555   -0.1080053522   -0.0947519880   -0.0000000174    0.0000000000    0.0000000000
